,Symbols,Description
5163,Disaster_Suriname_Meteorological,Number of Meteorological type Disasters in the country Suriname
5164,Disaster_Suriname_Geophysical,Number of Geophysical type Disasters in the country Suriname
5165,DIS.SUR.TRA,Number of Transport type Disasters in the country Suriname
5166,DIS.SUR.IND,Number of Industrial accident type Disasters in the country Suriname
5167,Disaster_Suriname_Miscellaneous accident,Number of Miscellaneous accident type Disasters in the country Suriname
5168,Disaster_Suriname_Biological,Number of Biological type Disasters in the country Suriname
5169,Disaster_Suriname_Climatological,Number of Climatological type Disasters in the country Suriname
5170,DIS.TLS.HYD,Number of Hydrological type Disasters in the country Timor-Leste
5171,DIS.TLS.MET,Number of Meteorological type Disasters in the country Timor-Leste
5172,DIS.TLS.GEO,Number of Geophysical type Disasters in the country Timor-Leste
5173,Disaster_Timor-Leste_Transport,Number of Transport type Disasters in the country Timor-Leste
5174,Disaster_Timor-Leste_Industrial accident,Number of Industrial accident type Disasters in the country Timor-Leste
5175,Disaster_Timor-Leste_Miscellaneous accident,Number of Miscellaneous accident type Disasters in the country Timor-Leste
5176,DIS.TLS.BIO,Number of Biological type Disasters in the country Timor-Leste
5177,DIS.TLS.CLI,Number of Climatological type Disasters in the country Timor-Leste
5178,Disaster_Saint Helena_Hydrological,Number of Hydrological type Disasters in the country Saint Helena
5179,DIS.SHN.MET,Number of Meteorological type Disasters in the country Saint Helena
5180,Disaster_Saint Helena_Geophysical,Number of Geophysical type Disasters in the country Saint Helena
5181,Disaster_Saint Helena_Transport,Number of Transport type Disasters in the country Saint Helena
5182,Disaster_Saint Helena_Industrial accident,Number of Industrial accident type Disasters in the country Saint Helena
5183,Disaster_Saint Helena_Miscellaneous accident,Number of Miscellaneous accident type Disasters in the country Saint Helena
5184,Disaster_Saint Helena_Biological,Number of Biological type Disasters in the country Saint Helena
5185,Disaster_Saint Helena_Climatological,Number of Climatological type Disasters in the country Saint Helena
5186,Disaster_Cayman Islands_Hydrological,Number of Hydrological type Disasters in the country Cayman Islands
5187,DIS.CYM.MET,Number of Meteorological type Disasters in the country Cayman Islands
5188,Disaster_Cayman Islands_Geophysical,Number of Geophysical type Disasters in the country Cayman Islands
5189,Disaster_Cayman Islands_Transport,Number of Transport type Disasters in the country Cayman Islands
5190,Disaster_Cayman Islands_Industrial accident,Number of Industrial accident type Disasters in the country Cayman Islands
5191,Disaster_Cayman Islands_Miscellaneous accident,Number of Miscellaneous accident type Disasters in the country Cayman Islands
5192,Disaster_Cayman Islands_Biological,Number of Biological type Disasters in the country Cayman Islands
5193,Disaster_Cayman Islands_Climatological,Number of Climatological type Disasters in the country Cayman Islands
5194,DIS.OMN.HYD,Number of Hydrological type Disasters in the country Oman
5195,DIS.OMN.MET,Number of Meteorological type Disasters in the country Oman
5196,Disaster_Oman_Geophysical,Number of Geophysical type Disasters in the country Oman
5197,DIS.OMN.TRA,Number of Transport type Disasters in the country Oman
5198,Disaster_Oman_Industrial accident,Number of Industrial accident type Disasters in the country Oman
5199,Disaster_Oman_Miscellaneous accident,Number of Miscellaneous accident type Disasters in the country Oman
5200,Disaster_Oman_Biological,Number of Biological type Disasters in the country Oman
5201,Disaster_Oman_Climatological,Number of Climatological type Disasters in the country Oman
5202,Disaster_Northern Mariana Islands_Hydrological,Number of Hydrological type Disasters in the country Northern Mariana Islands
5203,DIS.MNP.MET,Number of Meteorological type Disasters in the country Northern Mariana Islands
5204,DIS.MNP.GEO,Number of Geophysical type Disasters in the country Northern Mariana Islands
5205,Disaster_Northern Mariana Islands_Transport,Number of Transport type Disasters in the country Northern Mariana Islands
5206,Disaster_Northern Mariana Islands_Industrial accident,Number of Industrial accident type Disasters in the country Northern Mariana Islands
5207,Disaster_Northern Mariana Islands_Miscellaneous accident,Number of Miscellaneous accident type Disasters in the country Northern Mariana Islands
5208,Disaster_Northern Mariana Islands_Biological,Number of Biological type Disasters in the country Northern Mariana Islands
5209,Disaster_Northern Mariana Islands_Climatological,Number of Climatological type Disasters in the country Northern Mariana Islands
5210,DIS.ASM.HYD,Number of Hydrological type Disasters in the country American Samoa
5211,DIS.ASM.MET,Number of Meteorological type Disasters in the country American Samoa
5212,DIS.ASM.GEO,Number of Geophysical type Disasters in the country American Samoa
5213,Disaster_American Samoa_Transport,Number of Transport type Disasters in the country American Samoa
5214,Disaster_American Samoa_Industrial accident,Number of Industrial accident type Disasters in the country American Samoa
5215,Disaster_American Samoa_Miscellaneous accident,Number of Miscellaneous accident type Disasters in the country American Samoa
5216,Disaster_American Samoa_Biological,Number of Biological type Disasters in the country American Samoa
5217,Disaster_American Samoa_Climatological,Number of Climatological type Disasters in the country American Samoa
5218,DIS.STP.HYD,Number of Hydrological type Disasters in the country Sao Tome and Principe
5219,Disaster_Sao Tome and Principe_Meteorological,Number of Meteorological type Disasters in the country Sao Tome and Principe
5220,Disaster_Sao Tome and Principe_Geophysical,Number of Geophysical type Disasters in the country Sao Tome and Principe
5221,DIS.STP.TRA,Number of Transport type Disasters in the country Sao Tome and Principe
5222,Disaster_Sao Tome and Principe_Industrial accident,Number of Industrial accident type Disasters in the country Sao Tome and Principe
5223,Disaster_Sao Tome and Principe_Miscellaneous accident,Number of Miscellaneous accident type Disasters in the country Sao Tome and Principe
5224,DIS.STP.BIO,Number of Biological type Disasters in the country Sao Tome and Principe
5225,Disaster_Sao Tome and Principe_Climatological,Number of Climatological type Disasters in the country Sao Tome and Principe
5226,DIS.SRB.HYD,Number of Hydrological type Disasters in the country Serbia
5227,DIS.SRB.MET,Number of Meteorological type Disasters in the country Serbia
5228,DIS.SRB.GEO,Number of Geophysical type Disasters in the country Serbia
5229,Disaster_Serbia_Transport,Number of Transport type Disasters in the country Serbia
5230,Disaster_Serbia_Industrial accident,Number of Industrial accident type Disasters in the country Serbia
5231,Disaster_Serbia_Miscellaneous accident,Number of Miscellaneous accident type Disasters in the country Serbia
5232,Disaster_Serbia_Biological,Number of Biological type Disasters in the country Serbia
5233,Disaster_Serbia_Climatological,Number of Climatological type Disasters in the country Serbia
5234,DIS.MNE.HYD,Number of Hydrological type Disasters in the country Montenegro
5235,DIS.MNE.MET,Number of Meteorological type Disasters in the country Montenegro
5236,Disaster_Montenegro_Geophysical,Number of Geophysical type Disasters in the country Montenegro
5237,DIS.MNE.TRA,Number of Transport type Disasters in the country Montenegro
5238,Disaster_Montenegro_Industrial accident,Number of Industrial accident type Disasters in the country Montenegro
5239,DIS.MNE.MIS,Number of Miscellaneous accident type Disasters in the country Montenegro
5240,Disaster_Montenegro_Biological,Number of Biological type Disasters in the country Montenegro
5241,DIS.MNE.CLI,Number of Climatological type Disasters in the country Montenegro
5242,DIS.SSD.HYD,Number of Hydrological type Disasters in the country South Sudan
5243,Disaster_South Sudan_Meteorological,Number of Meteorological type Disasters in the country South Sudan
5244,Disaster_South Sudan_Geophysical,Number of Geophysical type Disasters in the country South Sudan
5245,DIS.SSD.TRA,Number of Transport type Disasters in the country South Sudan
5246,Disaster_South Sudan_Industrial accident,Number of Industrial accident type Disasters in the country South Sudan
5247,DIS.SSD.MIS,Number of Miscellaneous accident type Disasters in the country South Sudan
5248,DIS.SSD.BIO,Number of Biological type Disasters in the country South Sudan
5249,DIS.SSD.CLI,Number of Climatological type Disasters in the country South Sudan
5250,Disaster_Mayotte_Hydrological,Number of Hydrological type Disasters in the country Mayotte
5251,Disaster_Mayotte_Meteorological,Number of Meteorological type Disasters in the country Mayotte
5252,Disaster_Mayotte_Geophysical,Number of Geophysical type Disasters in the country Mayotte
5253,DIS.MYT.TRA,Number of Transport type Disasters in the country Mayotte
5254,Disaster_Mayotte_Industrial accident,Number of Industrial accident type Disasters in the country Mayotte
5255,Disaster_Mayotte_Miscellaneous accident,Number of Miscellaneous accident type Disasters in the country Mayotte
5256,Disaster_Mayotte_Biological,Number of Biological type Disasters in the country Mayotte
5257,Disaster_Mayotte_Climatological,Number of Climatological type Disasters in the country Mayotte
5258,DIS.QAT.HYD,Number of Hydrological type Disasters in the country Qatar
5259,Disaster_Qatar_Meteorological,Number of Meteorological type Disasters in the country Qatar
5260,Disaster_Qatar_Geophysical,Number of Geophysical type Disasters in the country Qatar
5261,DIS.QAT.TRA,Number of Transport type Disasters in the country Qatar
5262,DIS.QAT.IND,Number of Industrial accident type Disasters in the country Qatar
5263,DIS.QAT.MIS,Number of Miscellaneous accident type Disasters in the country Qatar
5264,Disaster_Qatar_Biological,Number of Biological type Disasters in the country Qatar
5265,Disaster_Qatar_Climatological,Number of Climatological type Disasters in the country Qatar
5266,Disaster_Saint Barthélemy_Hydrological,Number of Hydrological type Disasters in the country Saint Barthélemy
5267,DIS.BLM.MET,Number of Meteorological type Disasters in the country Saint Barthélemy
5268,Disaster_Saint Barthélemy_Geophysical,Number of Geophysical type Disasters in the country Saint Barthélemy
5269,Disaster_Saint Barthélemy_Transport,Number of Transport type Disasters in the country Saint Barthélemy
5270,Disaster_Saint Barthélemy_Industrial accident,Number of Industrial accident type Disasters in the country Saint Barthélemy
5271,Disaster_Saint Barthélemy_Miscellaneous accident,Number of Miscellaneous accident type Disasters in the country Saint Barthélemy
